# t/tauB Gpp_mPa
0.000000000000000000e+00 7.976355917273718621e-01
1.000000000000000000e+00 7.629699276205421654e-01
2.000000000000000000e+00 7.981956764537869731e-01
3.000000000000000000e+00 9.085961945101289627e-01
4.000000000000000000e+00 8.472956851760853336e-01
5.000000000000000000e+00 9.569826761201200016e-01
6.000000000000000000e+00 1.082125576412789281e+00
7.000000000000000000e+00 1.155896661115993984e+00
8.000000000000000000e+00 1.246934795037333732e+00
9.000000000000000000e+00 1.295037991414275114e+00
1.900000000000000000e+01 2.802082682309636308e+00
2.900000000000000000e+01 4.368061907020918788e+00
3.900000000000000000e+01 6.966044175577810194e+00
4.900000000000000000e+01 9.710934269477158765e+00
5.900000000000000000e+01 1.431691875460641050e+01
6.900000000000000000e+01 1.319377863611007484e+01
7.900000000000000000e+01 1.922330690352318072e+01
8.900000000000000000e+01 1.875474500668047284e+01
9.900000000000000000e+01 1.539986246685448279e+01
