# t/tauB rate Stress_mPa
8.100000000000000000e+01 7.246376811594202987e-03 -5.395256306585202166e-01
8.200000000000000000e+01 7.460712206995079483e-03 -4.569780709082720827e-01
8.300000000000000000e+01 7.715725383161872557e-03 -3.617993259749933133e-01
8.400000000000000000e+01 1.105638230978830440e-02 6.569654310088643978e-01
8.500000000000000000e+01 9.607307853842922407e-03 2.591308124551697234e-01
8.600000000000000000e+01 8.138139704731598562e-03 -2.108564595781385054e-01
8.700000000000000000e+01 1.041828642512828557e-02 4.886229788786021766e-01
8.800000000000000000e+01 9.134540950611549567e-03 1.162305288158210492e-01
8.900000000000000000e+01 8.900550496475792897e-03 4.274353597791327036e-02
9.000000000000000000e+01 7.683245402858166970e-03 -3.737455600661035438e-01
9.100000000000000000e+01 7.079646017699114946e-03 -6.054454643907366540e-01
9.200000000000000000e+01 8.433554568591246359e-03 -1.098805543398651552e-01
9.300000000000000000e+01 7.526988214321085266e-03 -4.319325263505650048e-01
9.400000000000000000e+01 7.135826771653543642e-03 -5.830616121451543954e-01
9.500000000000000000e+01 8.460485133020344967e-03 -1.008519914479222152e-01
9.600000000000000000e+01 6.810000972857281794e-03 -7.154123987351023173e-01
9.700000000000000000e+01 7.349030604844558438e-03 -4.996899487939470696e-01
9.800000000000000000e+01 8.117584898410105596e-03 -2.180181179760252996e-01
9.900000000000000000e+01 8.033280734471381565e-03 -2.475821375094403032e-01
1.000000000000000000e+02 7.849666983824929445e-03 -3.130607937369717098e-01
1.010000000000000000e+02 6.775324552260020804e-03 -7.298691753497728030e-01
1.020000000000000000e+02 9.469518515028738093e-03 2.182213892527289090e-01
1.030000000000000000e+02 8.453482365096510326e-03 -1.031969252195718278e-01
1.040000000000000000e+02 7.193908534591488858e-03 -5.601048669239869771e-01
1.050000000000000000e+02 8.083999256643745884e-03 -2.297590644183259423e-01
1.060000000000000000e+02 8.401801049064660729e-03 -1.205631404921888028e-01
1.070000000000000000e+02 7.851831324188259659e-03 -3.122800818726702565e-01
1.080000000000000000e+02 8.272819192940527103e-03 -1.643745925207339420e-01
1.090000000000000000e+02 8.694052164312985817e-03 -2.373222857308572575e-02
1.100000000000000000e+02 8.069692801467217083e-03 -2.347751699746295495e-01
1.110000000000000000e+02 7.672402052027058050e-03 -3.777450238021619611e-01
1.120000000000000000e+02 7.234254193606727730e-03 -5.442671262233484963e-01
1.130000000000000000e+02 8.455898889038816410e-03 -1.023875130987950827e-01
1.140000000000000000e+02 7.048576816018676215e-03 -6.179006319001062453e-01
1.150000000000000000e+02 1.114656838509595939e-02 6.799712392908526803e-01
1.160000000000000000e+02 8.227307467517871314e-03 -1.799968373050508941e-01
1.170000000000000000e+02 1.051265992663505400e-02 5.141600132924081246e-01
1.180000000000000000e+02 8.144634386467376752e-03 -2.085973577142912760e-01
1.190000000000000000e+02 6.659610126135661647e-03 -7.786522310653933854e-01
1.200000000000000000e+02 8.587619877942457777e-03 -5.861407277128860560e-02
1.210000000000000000e+02 8.754355400696864700e-03 -4.157629875489242226e-03
1.220000000000000000e+02 7.999304408312320203e-03 -2.595848617031974448e-01
1.230000000000000000e+02 8.095939042341328273e-03 -2.255795477260225945e-01
1.240000000000000000e+02 6.684027777777777450e-03 -7.682880153301128168e-01
1.250000000000000000e+02 8.755660987707568690e-03 -3.735325497867648861e-03
1.260000000000000000e+02 8.991484027147365193e-03 7.152907591862996128e-02
1.270000000000000000e+02 7.220997102953257731e-03 -5.494614499919573403e-01
1.280000000000000000e+02 7.543934847835404717e-03 -4.255638367538944755e-01
1.290000000000000000e+02 8.476381138987094249e-03 -9.553627996979822956e-02
1.300000000000000000e+02 9.052273693157671455e-03 9.061049754374961296e-02
1.310000000000000000e+02 8.144911551351122214e-03 -2.085009891162594997e-01
1.320000000000000000e+02 6.554465493910689895e-03 -8.237199730043319734e-01
1.330000000000000000e+02 7.871364229490255410e-03 -3.052439727456014440e-01
1.340000000000000000e+02 7.458621412109784146e-03 -4.577717927305460233e-01
1.350000000000000000e+02 7.939160956042119396e-03 -2.809571107380692268e-01
1.360000000000000000e+02 8.174841508174841148e-03 -1.981137696252450175e-01
1.370000000000000000e+02 7.539467655267213970e-03 -4.272412562286780902e-01
1.380000000000000000e+02 7.384053762548742697e-03 -4.862261145455907818e-01
1.390000000000000000e+02 8.288318007504845084e-03 -1.590741177906355996e-01
1.400000000000000000e+02 7.833113456464379371e-03 -3.190390422485671063e-01
1.410000000000000000e+02 7.889870556811177243e-03 -2.985937450572259122e-01
1.420000000000000000e+02 7.008771210754979886e-03 -6.339385617725392663e-01
1.430000000000000000e+02 7.437982753688340137e-03 -4.656187407895015506e-01
1.440000000000000000e+02 9.382011013665102900e-03 1.919303275398370479e-01
1.450000000000000000e+02 7.660649525284218310e-03 -3.820862163724896843e-01
1.460000000000000000e+02 8.215055512627597242e-03 -1.842171783980272315e-01
1.470000000000000000e+02 8.020740500688648689e-03 -2.520062707972064442e-01
1.480000000000000000e+02 7.431040749565849361e-03 -4.682630288576779543e-01
1.490000000000000000e+02 8.198697853870267477e-03 -1.898616032950906363e-01
1.500000000000000000e+02 7.929832992911209355e-03 -2.842863406719222663e-01
1.510000000000000000e+02 7.505888928813830158e-03 -4.398818877265170402e-01
