Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
5.5	0.0001157223	0.0318171633	0.0422889857	8.5423751056	0.0688218094
5.6666666667	0.0001150967	0.0279610782	0.0411945288	8.3212948245	0.0690285592
5.8333333333	0.0001167646	0.0375238737	0.0426040072	8.6060094508	0.0685263802
6	0.0001175173	0.0429503036	0.0445905748	9.0072961043	0.0683242348
6.1666666667	0.0001181808	0.0487695247	0.0413493753	8.3525738016	0.0682226463
6.3333333333	0.0001185232	0.0538901987	0.0430352082	8.6931120498	0.0680829841
6.5	0.0001202591	0.0677966102	0.0516449582	10.4322815649	0.067848728
6.6666666667	0.0001211008	0.0710831178	0.0424447044	8.5738302863	0.0677069503
6.8333333333	0.0001230266	0.0819912152	0.0598278713	12.0852299962	0.0675875296
7	0.0001244075	0.0924464487	0.0494475645	9.9884080204	0.0673261281
7.1666666667	0.0001268693	0.1113485547	0.0604806022	12.2170816517	0.0673791872
7.3333333333	0.0001296314	0.1286893588	0.0567078241	11.4549804668	0.0663959461
7.5	0.0001306414	0.1514202639	0.0519021227	10.4842287806	0.0664513331
7.6666666667	0.0001356013	0.1803351955	0.0603802537	12.1968112437	0.0665329282
7.8333333333	0.0001381605	0.1984171218	0.0651100052	13.1522210474	0.0666100549
8	0.0001420171	0.2206850385	0.0660292583	13.3379101726	0.0662916192
8.1666666667	0.0001446266	0.244005799	0.0565983687	11.4328704838	0.0659583698
8.3333333333	0.0001519628	0.2837277111	0.0550198974	11.1140192698	0.0653674291
8.5	0.0001600965	0.3131986	0.0741253901	14.9733287956	0.0656875066
8.6666666667	0.0001689431	0.350310559	0.0878249902	17.7406480185	0.0670376387
8.8333333333	0.0001775843	0.3973808986	0.084188547	17.0060864988	0.0670658556
9	0.0001859167	0.4315455986	0.0739187499	14.9315874883	0.0672516593
9.1666666667	0.0001892849	0.4632666816	0.0852773474	17.226024168	0.0670733258
9.3333333333	0.0002045035	0.515990991	0.0799307125	16.1460039242	0.0692310023
9.5	0.000218507	0.5624859266	0.0987726723	19.9520797966	0.0715895672
9.6666666667	0.0002320295	0.6204560849	0.0953222941	19.2551034096	0.0711778553
9.8333333333	0.0002527977	0.6893127187	0.1136650299	22.9603360393	0.073897035
10	0.0002654661	0.7248948027	0.1101125834	22.2427418419	0.0749403545
10.1666666667	0.0002889187	0.7853273138	0.1200598042	24.2520804494	0.0793070542
10.3333333333	0.0003091724	0.833804729	0.1466042781	29.6140641705	0.0811778623
10.5	0.0003249122	0.8861218021	0.1215248457	24.5480188274	0.0823881203
10.6666666667	0.0003608201	0.9456275487	0.1519580347	30.6955230047	0.0872414921
10.8333333333	0.000381981	1.0167789065	0.1247843973	25.2064482561	0.0888342528
11	0.0004096027	1.0794807561	0.1582989924	31.9763964685	0.0924970686
11.1666666667	0.0004614729	1.1376167692	0.1642270201	33.1738580569	0.0980290743
11.3333333333	0.0005068472	1.190367496	0.1516829619	30.6399582972	0.10212083
11.5	0.0005139465	1.230298913	0.1525154636	30.808123648	0.101807883
11.6666666667	0.000594061	1.3201644211	0.1761534201	35.5829908616	0.1096272076
11.8333333333	0.0006191715	1.3866849065	0.1919977562	38.7835467433	0.1116696201
12	0.0006712588	1.4530910753	0.1558659293	31.4849177113	0.1156931964
12.1666666667	0.0007692157	1.5125685558	0.1666675441	33.66684391	0.1217109829
12.3333333333	0.000828643	1.5786825252	0.1780455306	35.9651971743	0.1231778194
12.5	0.0008612205	1.6333863998	0.1747537027	35.3002479413	0.1278631819
12.6666666667	0.0008958684	1.6805555556	0.183601303	37.0874631965	0.1320657409
12.8333333333	0.0009484543	1.7372477896	0.1716461637	34.6725250764	0.1380944896
13	0.0010164275	1.7861323728	0.1734184031	35.0305174251	0.1443350956
13.1666666667	0.0011076354	1.8760461434	0.1767867499	35.7109234752	0.1472100373
13.3333333333	0.0011779924	1.911478379	0.1891773367	38.2138220179	0.1522074985
13.5	0.0012298772	1.973547366	0.184405682	37.2499477565	0.1530697483
13.6666666667	0.0013482425	2.0619349005	0.1811084871	36.5839143945	0.1593767338
13.8333333333	0.0014386138	2.1049061723	0.212608749	42.9469672926	0.1600916129
14	0.0014874422	2.1519791312	0.2157963816	43.5908690908	0.1666121775
14.1666666667	0.0014818042	2.1920236337	0.1950751471	39.4051797114	0.1590656697
14.3333333333	0.0016213936	2.2471042471	0.2194342162	44.3257116631	0.1738754962
14.5	0.0016729933	2.2988950906	0.2120045791	42.8249249792	0.1710474612
14.6666666667	0.0017880371	2.3383637808	0.2434766084	49.182274891	0.1808716743
14.8333333333	0.0020355308	2.3782801318	0.3078372675	62.1831280285	0.198370404
15	0.0020029057	2.429321763	0.2833608113	57.2388838849	0.1897694638
15.1666666667	0.0020686207	2.4644408873	0.2809037801	56.7425635738	0.1931920792
15.3333333333	0.0022354554	2.4774620564	0.2847754515	57.5246412103	0.2054313488
15.5	0.0024596635	2.5447497435	0.2854160111	57.6540342442	0.2153959972
15.6666666667	0.0023274283	2.603268945	0.2483553516	50.1677810274	0.1927680743
15.8333333333	0.0025414667	2.6253848785	0.2930372475	59.1935239876	0.2092546553
16	0.0029536942	2.6455364269	0.3376261005	68.2004722958	0.2296773852
16.1666666667	0.0025958398	2.7040036501	0.2604624118	52.6134071935	0.2038891864
16.3333333333	0.0027193769	2.7567813996	0.335466554	67.7642439138	0.2123567061
16.5	0.0027068913	2.7740313179	0.2653640566	53.6035394365	0.200267523
16.6666666667	0.0026245547	2.830175759	0.2650421236	53.5385089631	0.1945177027
16.8333333333	0.0026620063	2.8663236135	0.2609465839	52.7112099426	0.1963594188
17	0.0029087641	2.908320934	0.2581866608	52.153705489	0.1987935782
17.1666666667	0.0029725618	2.9312399725	0.3282669186	66.3099175662	0.2166383168
17.3333333333	0.0030818763	2.9850849013	0.3304510605	66.7511142118	0.2150684292
17.5	0.0033069071	2.9795025334	0.3298032398	66.6202544422	0.2171884746
17.6666666667	0.0036832895	3.0159022816	0.3500019599	70.7003959008	0.2265613694
17.8333333333	0.0033626362	3.0427330631	0.375407029	75.8322198624	0.2172551692
18	0.0038766719	3.0737183196	0.3782484843	76.4061938367	0.2402626675
18.1666666667	0.003393481	3.087037037	0.3016505096	60.9334029361	0.2094797986
18.3333333333	0.0033893984	3.0941258094	0.2892470749	58.4279091333	0.1936384773
18.5	0.0037310481	3.1167536232	0.3057801488	61.7675900564	0.2180450029
18.6666666667	0.0037813639	3.1460310113	0.2958936956	59.77052651	0.213721576
18.8333333333	0.0036090173	3.2038135101	0.3014439517	60.8916782454	0.204118717
19	0.00380408	3.2202208019	0.2530936301	51.1249132844	0.2011475862
19.1666666667	0.0040151365	3.2254241227	0.2817182276	56.9070819807	0.2064713107
19.3333333333	0.004243504	3.2603571012	0.274298278	55.408252156	0.1981667007
19.5	0.0043894766	3.2821291	0.2816014947	56.8835019219	0.200043532
19.6666666667	0.0041586233	3.2750233863	0.2752987457	55.6103466318	0.200413007
19.8333333333	0.0045289961	3.293480819	0.2880831384	58.1927939474	0.1970082209
20	0.004660004	3.3074213246	0.3128206851	63.1897783949	0.2063554404
20.1666666667	0.0047593302	3.3123974689	0.38118143	76.9986488595	0.2127597077
20.3333333333	0.0044521157	3.3283249208	0.307911399	62.1981026036	0.200483874
20.5	0.00403957	3.3394366197	0.2565325124	51.8195674998	0.1852646705
20.6666666667	0.0040881954	3.3251404494	0.259421782	52.4031999733	0.1874904615
20.8333333333	0.0041773935	3.3628464068	0.2590173178	52.3214981953	0.1869470546
21	0.0044388602	3.3806345861	0.2802141412	56.6032565234	0.1903470095
21.1666666667	0.0042145094	3.3672250205	0.2549299972	51.4958594311	0.1793850971
