Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
8.5	0.00043377	1.2864726701	0.1294055974	26.1399306796	0.1231276119
8.6666666667	0.0004893309	1.3716196283	0.1574422206	31.8033285572	0.1343393912
8.8333333333	0.0005387985	1.4719589258	0.1562091961	31.5542576197	0.1395021352
9	0.0006288222	1.581730295	0.1883142947	38.0394875278	0.1577242061
9.1666666667	0.0007408708	1.6881677879	0.2175455235	43.9441957399	0.1706270081
9.3333333333	0.0008455256	1.7922924901	0.1905522591	38.4915563471	0.1848082058
9.5	0.0010039868	1.8996741384	0.2348221749	47.4340793214	0.1995948073
9.6666666667	0.0011713807	2.0150078989	0.24333166	49.1529953291	0.214473953
9.8333333333	0.0013160467	2.1268022911	0.2355200454	47.5750491693	0.2379551044
10	0.0016235973	2.2349099545	0.2896961788	58.518628122	0.2607178836
10.1666666667	0.0019694339	2.3430541872	0.2889624024	58.3704052839	0.2846438837
10.3333333333	0.0022554445	2.4347050074	0.285783912	57.7283502319	0.2836521279
10.5	0.0030038829	2.5453464169	0.4239525877	85.6384227151	0.3351625679
10.6666666667	0.003832954	2.6521394612	0.4816240179	97.288051623	0.3924866641
10.8333333333	0.0042726426	2.747298503	0.484283914	97.8253506219	0.4062078161
11	0.0053673227	2.8394327085	0.4654534699	94.0216009145	0.3966569037
11.1666666667	0.0057827587	2.9189619171	0.4684082669	94.618469921	0.3993445884
11.3333333333	0.0070118059	3.0002976486	0.4428230237	89.4502507783	0.4271726609
11.5	0.0101754162	3.0980509149	0.5520132935	111.5066852849	0.4812062808
11.6666666667	0.0102394705	3.1769010185	0.5581995409	112.7563072532	0.4843600394
11.8333333333	0.0118867493	3.2597003076	0.5520372789	111.5115303471	0.4666761098
12	0.0136240149	3.3435927789	0.5513083563	111.3642879706	0.4875330059
12.1666666667	0.0121278642	3.4114974318	0.5629853785	113.7230464546	0.4752836597
12.3333333333	0.01264061	3.48583878	0.4923791535	99.4605889979	0.5173941918
12.5	0.0130976543	3.557934384	0.4932482509	99.636146688	0.5368257783
12.6666666667	0.013926983	3.6247780627	0.502991805	101.6043446026	0.577709538
12.8333333333	0.0141457313	3.707490378	0.5106374356	103.1487619974	0.578355205
13	0.0148468622	3.7581266673	0.5077871609	102.5730064971	0.5590046162
13.1666666667	0.015264358	3.8227573275	0.508633265	102.7439195362	0.6085638651
13.3333333333	0.0164516327	3.8997632202	0.5165284058	104.3387379633	0.5885093693
13.5	0.0157009952	3.9541501976	0.4830319656	97.5724570508	0.5597370728
13.6666666667	0.0161624054	4.0264456286	0.4876089293	98.4970037164	0.5752944721
13.8333333333	0.0162542724	4.0489795918	0.488054909	98.5870916175	0.5536165269
14	0.0237113885	4.1054414989	0.6488527797	131.0682615025	0.608790845
14.1666666667	0.0251666103	4.1784892446	0.6415382253	129.590721501	0.5921568856
14.3333333333	0.0249032496	4.2404253224	0.565801484	114.2918997669	0.5458944802
14.5	0.0248671447	4.3101247177	0.5620835023	113.5408674657	0.5430464306
14.6666666667	0.0238177282	4.3349121768	0.5550253072	112.1151120548	0.542359075
14.8333333333	0.0249629057	4.3717670286	0.5710695261	115.3560442763	0.5553303046
15	0.0249909466	4.4356474643	0.572638101	115.6728963919	0.5580927783
15.1666666667	0.0248762631	4.4578384798	0.5685815558	114.8534742743	0.5859604368
15.3333333333	0.0300826457	4.4998518226	0.6068658965	122.5869111029	0.5729030107
15.5	0.0305199548	4.5520514088	0.5983012603	120.8568545725	0.5758264169
15.6666666667	0.0280808138	4.5840848281	0.5580623106	112.7285867361	0.5605798138
15.8333333333	0.0468166649	4.611568608	0.7319967163	147.8633366878	0.6222936413
16	0.047148958	4.6656737166	0.7031408628	142.0344542847	0.5946939016
16.1666666667	0.0413124535	4.6729397781	0.6543443622	132.1775611659	0.5890000592
16.3333333333	0.0518143503	4.7182079493	0.7129391738	144.0137131	0.5755933061
16.5	0.0562184115	4.7491811414	0.7210189113	145.6458200769	0.5967975806
16.6666666667	0.0455016702	4.7823494335	0.6346625368	128.201832438	0.6001923198
16.8333333333	0.0567536296	4.811825809	0.710593025	143.5397910411	0.6011069722
17	0.0548669691	4.8378674639	0.7068362171	142.7809158455	0.5952045764
17.1666666667	0.0340309155	4.8690298878	0.6290542153	127.0689514837	0.5860884998
17.3333333333	0.0456182504	4.8819368337	0.6608301652	133.4876933609	0.6034094069
17.5	0.0461916108	4.8499949764	0.6606422357	133.4497316152	0.5955760141
17.6666666667	0.0454634294	4.9270583533	0.6597043005	133.2602686949	0.6026765937
17.8333333333	0.0458061808	4.9504396483	0.6603608566	133.3928930409	0.6036162657
18	0.0490773461	4.9810454908	0.6601292392	133.346106319	0.5864517901
18.1666666667	0.0514667439	4.9908954477	0.6574524378	132.8053924279	0.574241539
18.3333333333	0.0515741511	5.0358143257	0.6568756117	132.6888735567	0.5719654838
18.5	0.0414036846	5.0578594984	0.6083032	122.8772464056	0.6116969644
18.6666666667	0.0485746521	5.0642385431	0.6599572201	133.3113584634	0.6153405369
18.8333333333	0.0499416178	5.104510451	0.6630054819	133.9271073463	0.6090837428
19	0.0525191933	5.0938783689	0.6634594096	134.0188007423	0.6032732759
19.1666666667	0.0525732598	5.1163862179	0.6618312193	133.6899063024	0.6102230891
19.3333333333	0.0521718363	5.1268028846	0.6618537706	133.6944616538	0.6010091707
19.5	0.0544258524	5.1466319688	0.6550848608	132.3271418828	0.5928401886
19.6666666667	0.0583695813	5.1594667736	0.7057353459	142.5585398784	0.6304992976
19.8333333333	0.0588277239	5.1846815318	0.706471066	142.7071553331	0.6331451028
20	0.0589286419	5.1963589077	0.7042893625	142.2664512344	0.6312570773
20.1666666667	0.0594023273	5.214801444	0.6997154127	141.3425133687	0.6234836364
20.3333333333	0.0594463372	5.2168844221	0.6998821848	141.376201323	0.620700677
20.5	0.0599396134	5.2477192982	0.6977610848	140.9477391372	0.6268169166
20.6666666667	0.060329394	5.2515263737	0.6994731063	141.2935674651	0.6342282723
20.8333333333	0.060305946	5.2606692046	0.6968796088	140.7696809752	0.6354010533
21	0.0617725924	5.2626820693	0.6960398713	140.6000539942	0.6443875722
21.1666666667	0.0616675464	5.2807545655	0.6968393581	140.7615503318	0.6328701863
21.3333333333	0.0615622679	5.293481526	0.6973236796	140.8593832733	0.6447227424
21.5	0.0633355636	5.2933507171	0.6994686712	141.2926715752	0.6447586601
21.6666666667	0.0621657238	5.3171951585	0.7026551345	141.9363371641	0.6463122034
21.8333333333	0.0612076551	5.3173520562	0.6997568724	141.3508882275	0.6089143929
22	0.0637636579	5.3188580619	0.7045233852	142.3137238003	0.6266851694
22.1666666667	0.0635769787	5.3380452342	0.7064493425	142.7027671882	0.6288783148
22.3333333333	0.063013412	5.3583542398	0.7062957494	142.6717413817	0.6278473479
22.5	0.0620643842	5.367225962	0.7027332679	141.9521201193	0.6084699472
22.6666666667	0.062849682	5.3729631865	0.7021388028	141.8320381616	0.6057393669
22.8333333333	0.0610014298	5.3904933815	0.7000572499	141.4115644788	0.6106297642
23	0.062403234	5.3740565563	0.6990408277	141.206247188	0.6103236288
23.1666666667	0.0626409841	5.4082064724	0.7001835763	141.4370824121	0.6072338166
23.3333333333	0.0632436109	5.3960625946	0.7003391168	141.4685015889	0.6044927297
23.5	0.0629451673	5.4209569958	0.7004530751	141.4915211618	0.6051213733
23.6666666667	0.0629937523	5.4107665892	0.6996274752	141.324749986	0.6094004891
23.8333333333	0.0620067388	5.4219979818	0.6980152797	140.9990864974	0.5898932759
24	0.0621263242	5.4298413981	0.6954478551	140.4804667267	0.5906087897
24.1666666667	0.0622911959	5.4351160444	0.6957070809	140.5328303332	0.5910998849
24.3333333333	0.0615074511	5.4358094469	0.6967896601	140.7515113324	0.5687324973
24.5	0.0622047027	5.3829094608	0.6954192989	140.47469837	0.5708463099
24.6666666667	0.0623306927	5.3799510004	0.6926717442	139.9196923385	0.5740766217
