# t/tauB rate Stress_mPa
-3.300000000000000000e+01 1.333333333333333315e-01 7.934334357837248497e+00
-3.100000000000000000e+01 1.333333333333333315e-01 7.934334357837248497e+00
-3.000000000000000000e+01 7.142857142857142461e-02 6.309904660532939857e+00
-2.900000000000000000e+01 1.250000000000000000e-01 7.766365814110169019e+00
-2.700000000000000000e+01 1.250000000000000000e-01 7.766365814110169019e+00
-2.600000000000000000e+01 6.666666666666666574e-02 6.130343183961291409e+00
-2.500000000000000000e+01 6.250000000000000000e-02 5.962374640234211931e+00
-2.400000000000000000e+01 6.250000000000000000e-02 5.962374640234211931e+00
-2.300000000000000000e+01 1.176470588235294101e-01 7.608583620452442631e+00
-2.200000000000000000e+01 1.250000000000000000e-01 7.766365814110169019e+00
-2.100000000000000000e+01 2.222222222222222099e-01 9.263813785163334202e+00
-1.900000000000000000e+01 6.666666666666666574e-02 6.130343183961291409e+00
-1.800000000000000000e+01 1.176470588235294101e-01 7.608583620452442631e+00
-1.700000000000000000e+01 1.764705882352941291e-01 8.663850808801816683e+00
-1.600000000000000000e+01 1.250000000000000000e-01 7.766365814110169019e+00
-1.500000000000000000e+01 1.250000000000000000e-01 7.766365814110169019e+00
-1.400000000000000000e+01 5.882352941176470507e-02 5.804592446576484654e+00
-1.300000000000000000e+01 5.882352941176470507e-02 5.804592446576484654e+00
-1.200000000000000000e+01 1.052631578947368363e-01 7.319106768096927063e+00
-1.100000000000000000e+01 9.523809523809523281e-02 7.058628646059522893e+00
-1.000000000000000000e+01 1.176470588235294101e-01 7.608583620452442631e+00
-9.000000000000000000e+00 1.744186046511627952e-01 8.633410589042060934e+00
-8.000000000000000000e+00 1.592039800995024845e-01 8.395865483362323189e+00
-7.000000000000000000e+00 1.250000000000000000e-01 7.766365814110169019e+00
-6.000000000000000000e+00 9.841827768014059508e-02 7.144115282375274489e+00
-5.000000000000000000e+00 9.811320754716981729e-02 7.136035366353572940e+00
-4.000000000000000000e+00 7.081339712918660600e-02 6.287392764209434937e+00
-3.000000000000000000e+00 7.181467181467181271e-02 6.323934932356540806e+00
-2.000000000000000000e+00 6.752194463200540675e-02 6.163520133251569000e+00
-1.000000000000000000e+00 5.892648774795799377e-02 5.809143789829693816e+00
0.000000000000000000e+00 6.505771248688352326e-02 6.066760616804582895e+00
1.000000000000000000e+00 6.682808716707021313e-02 6.136637284055171726e+00
2.000000000000000000e+00 5.090090090090090141e-02 5.428095596347835006e+00
3.000000000000000000e+00 4.532344458178821922e-02 5.126046713967505220e+00
4.000000000000000000e+00 4.463615903975994004e-02 5.086278410169256858e+00
5.000000000000000000e+00 4.142216085605798792e-02 4.891789992041261748e+00
6.000000000000000000e+00 4.389011682980738932e-02 5.042411158139481486e+00
7.000000000000000000e+00 3.123192596876807337e-02 4.156877762457213521e+00
8.000000000000000000e+00 3.717182219911619595e-02 4.610018470066780338e+00
9.000000000000000000e+00 3.240518482957273350e-02 4.252855729457988510e+00
1.000000000000000000e+01 2.861614129219763186e-02 3.929227801934397579e+00
1.100000000000000000e+01 2.285361334156886873e-02 3.344000686738691552e+00
1.200000000000000000e+01 2.485659655831740089e-02 3.562656118723458221e+00
1.300000000000000000e+01 2.191485539788036799e-02 3.234835542199732128e+00
1.400000000000000000e+01 2.000678195998643535e-02 2.997754972705100496e+00
1.500000000000000000e+01 1.741654571843250995e-02 2.636901510033150320e+00
1.600000000000000000e+01 1.896894599969405071e-02 2.859118947783797271e+00
1.700000000000000000e+01 1.651805291624031460e-02 2.499049740444593937e+00
1.800000000000000000e+01 1.753145765587445226e-02 2.654016761570057170e+00
1.900000000000000000e+01 1.595025682616923665e-02 2.408013159624390997e+00
2.000000000000000000e+01 1.378592794901807757e-02 2.028483590761226196e+00
2.100000000000000000e+01 1.658083155382489640e-02 2.508922487111784783e+00
2.200000000000000000e+01 1.483823887132084719e-02 2.219929430871199649e+00
2.300000000000000000e+01 1.511246485473289637e-02 2.267589278627009985e+00
2.400000000000000000e+01 1.459602344558096759e-02 2.177094567247361390e+00
2.500000000000000000e+01 1.576828450011183089e-02 2.378149993674962825e+00
2.600000000000000000e+01 1.297851455993019945e-02 1.871408077827466654e+00
2.700000000000000000e+01 1.476367498672331337e-02 2.206818045069595335e+00
2.800000000000000000e+01 1.395925964222934600e-02 2.061002420414976388e+00
2.900000000000000000e+01 1.382113821138211338e-02 2.035122369334426029e+00
3.000000000000000000e+01 1.491943505072607958e-02 2.234132317968832382e+00
3.100000000000000000e+01 1.194174757281553367e-02 1.654728365865627326e+00
3.200000000000000000e+01 1.300303720577069069e-02 1.876321016149821830e+00
3.300000000000000000e+01 1.350726246646313279e-02 1.975336082639890023e+00
3.400000000000000000e+01 1.173901173901173954e-02 1.610164336922024431e+00
3.500000000000000000e+01 1.126810946163477045e-02 1.503610741119551619e+00
3.600000000000000000e+01 1.185770750988142212e-02 1.636347748106360855e+00
3.700000000000000000e+01 1.388529538594221631e-02 2.047175623716984916e+00
3.800000000000000000e+01 1.079014443500424768e-02 1.390804815156795549e+00
3.900000000000000000e+01 1.317435170516134332e-02 1.910386372746143646e+00
4.000000000000000000e+01 1.303492375799311306e-02 1.882695422596770030e+00
4.100000000000000000e+01 1.108055645422193446e-02 1.459926824663361877e+00
4.200000000000000000e+01 1.160480089023130032e-02 1.580237586450848219e+00
4.300000000000000000e+01 9.790867079188532440e-03 1.137875076357388382e+00
4.400000000000000000e+01 1.097635861221983415e-02 1.435336960628046832e+00
4.500000000000000000e+01 9.774208213365661452e-03 1.133443043671113815e+00
4.600000000000000000e+01 1.171379541893605852e-02 1.604567714781353738e+00
4.700000000000000000e+01 7.811924239074360607e-03 5.502093060167753125e-01
4.800000000000000000e+01 1.054392088423502030e-02 1.330726990828476675e+00
4.900000000000000000e+01 8.196721311475410263e-03 6.753503503220449344e-01
5.000000000000000000e+01 9.049133969600565638e-03 9.328390279726175294e-01
5.100000000000000000e+01 8.594186696478479243e-03 7.985885115864920225e-01
5.200000000000000000e+01 8.910070451719851597e-03 8.925326530027405392e-01
5.300000000000000000e+01 9.878057088357518334e-03 1.160949342903020653e+00
5.400000000000000000e+01 9.625092548966816472e-03 1.093431557014299171e+00
5.500000000000000000e+01 9.537784299339692462e-03 1.069715825721081703e+00
5.600000000000000000e+01 1.088175163226274417e-02 1.412807425941938311e+00
5.700000000000000000e+01 8.407194994786235803e-03 7.413359961780056073e-01
5.800000000000000000e+01 8.209968323744262081e-03 6.795531240938408324e-01
5.900000000000000000e+01 7.292732855680655359e-03 3.712201682610257181e-01
6.000000000000000000e+01 8.351787409047769020e-03 7.241267396825107339e-01
6.100000000000000000e+01 1.051840721262208879e-02 1.324421690995841505e+00
6.200000000000000000e+01 6.596141879278157906e-03 1.099352889944922168e-01
6.300000000000000000e+01 8.911560444963431346e-03 8.929678398873223122e-01
6.400000000000000000e+01 7.923930269413629462e-03 5.872600857001423202e-01
6.500000000000000000e+01 7.787033683448026100e-03 5.419035663147825366e-01
6.600000000000000000e+01 7.887660591574544022e-03 5.753199892567729679e-01
6.700000000000000000e+01 9.769094138543517672e-03 1.132080946535384713e+00
6.800000000000000000e+01 7.849386213408875504e-03 5.626602515898440071e-01
6.900000000000000000e+01 7.109142823844764696e-03 3.048622873346337747e-01
7.000000000000000000e+01 7.821935929142462968e-03 5.535426503300731049e-01
7.100000000000000000e+01 9.292514679892822579e-03 1.001912648227547997e+00
7.200000000000000000e+01 8.046693488978295949e-03 6.272724199470800510e-01
7.300000000000000000e+01 7.199910001124985859e-03 3.378811956963994612e-01
7.400000000000000000e+01 6.539600916662008899e-03 8.753001872175592002e-02
7.500000000000000000e+01 8.041705950862404126e-03 6.256587587929138827e-01
7.600000000000000000e+01 9.457304668169571465e-03 1.047661885802078308e+00
7.700000000000000000e+01 6.996829561604897552e-03 2.634169066335139142e-01
7.800000000000000000e+01 8.382320923143914138e-03 7.336243345199022770e-01
7.900000000000000000e+01 9.669403630077786846e-03 1.105385704509151523e+00
8.000000000000000000e+01 7.850306484568232365e-03 5.629653666212479646e-01
8.100000000000000000e+01 7.856761090326028207e-03 5.651043803714664859e-01
8.200000000000000000e+01 6.639048226046314304e-03 1.268098241885705357e-01
8.300000000000000000e+01 7.320798441038605699e-03 3.812169085071309693e-01
8.400000000000000000e+01 1.098785552810052114e-02 1.438061572641812669e+00
8.500000000000000000e+01 1.026748104465037906e-02 1.261581512888232393e+00
8.600000000000000000e+01 8.321122043123298576e-03 7.145531195226443311e-01
8.700000000000000000e+01 8.374512353706111897e-03 7.311987383262743556e-01
8.800000000000000000e+01 9.515436727517194437e-03 1.063610609093164294e+00
8.900000000000000000e+01 7.997523347608483102e-03 6.113201225772917358e-01
9.000000000000000000e+01 7.387646213831315818e-03 4.048740422324008104e-01
9.100000000000000000e+01 6.794787282592160658e-03 1.871568559321169778e-01
9.200000000000000000e+01 6.405124099279423111e-03 3.345344585993648839e-02
9.300000000000000000e+01 7.486737071743764828e-03 4.395509200346741641e-01
9.400000000000000000e+01 7.249235624815070916e-03 3.556505254670446758e-01
9.500000000000000000e+01 7.847753580537571855e-03 5.621188656721355370e-01
9.600000000000000000e+01 6.534991465496220106e-03 8.569491751319761874e-02
9.700000000000000000e+01 6.448172209832250812e-03 5.088676745427005849e-02
9.800000000000000000e+01 7.800462249614791704e-03 5.463878423749295443e-01
9.900000000000000000e+01 6.472957422324510969e-03 6.087138970247913533e-02
1.000000000000000000e+02 8.056442770653572671e-03 6.304238026462115618e-01
1.010000000000000000e+02 6.846384253316217458e-03 2.068453975870061523e-01
1.020000000000000000e+02 7.751571583872949624e-03 5.300242319178152250e-01
1.030000000000000000e+02 7.343595537353480793e-03 3.893088867601691705e-01
1.040000000000000000e+02 7.026748489249074608e-03 2.745221169898227620e-01
1.050000000000000000e+02 6.943473600820168276e-03 2.434940417360717535e-01
1.060000000000000000e+02 7.765635898628226418e-03 5.347420813012666585e-01
1.070000000000000000e+02 5.976095617529880374e-03 -1.469876894075564377e-01
1.080000000000000000e+02 6.776067115331427769e-03 1.799765697803416553e-01
1.090000000000000000e+02 8.112468310670662222e-03 6.484600407392601129e-01
1.100000000000000000e+02 6.111009005697482128e-03 -8.888586796344669083e-02
1.110000000000000000e+02 5.915813424345847324e-03 -1.733740886134215176e-01
1.120000000000000000e+02 7.297285047364365611e-03 3.728442342569442958e-01
1.130000000000000000e+02 6.639866299290844188e-03 1.271305017388276726e-01
1.140000000000000000e+02 6.163120248324260690e-03 -6.678637602742217017e-02
1.150000000000000000e+02 9.822031989186753506e-03 1.146146178653833392e+00
1.160000000000000000e+02 8.555860764623767281e-03 7.869561722513814805e-01
1.170000000000000000e+02 9.160716691364676617e-03 9.647349341503327347e-01
1.180000000000000000e+02 7.133883704235463065e-03 3.139040321613999485e-01
1.190000000000000000e+02 6.675803528007426962e-03 1.411787302576912040e-01
1.200000000000000000e+02 7.139103013314646203e-03 3.158074630670316685e-01
1.210000000000000000e+02 7.600908614363095957e-03 4.789407063870259051e-01
1.220000000000000000e+02 6.271230729030572056e-03 -2.152845884237690813e-02
1.230000000000000000e+02 6.510981856063894138e-03 7.611530279322142878e-02
1.240000000000000000e+02 6.088809637715826908e-03 -9.835754013040334809e-02
1.250000000000000000e+02 6.356756756756756950e-03 1.372565010296506946e-02
1.260000000000000000e+02 7.146260123868508965e-03 3.184153299560369965e-01
1.270000000000000000e+02 5.849473547380735355e-03 -2.027246006910847498e-01
1.280000000000000000e+02 7.210919392222508474e-03 3.418578089047484836e-01
1.290000000000000000e+02 6.533156838464494916e-03 8.496416102566281547e-02
1.300000000000000000e+02 7.241129616220130273e-03 3.527386907757007473e-01
